;sent:;received;sent_data;sent_timestamp;sent_packet;received_data;received_timestamp;received_packet;latency
276;20180516,23:36:47.802,sent packet '277';20180516,23:36:47.817,unicast message '21' received from 2D:C8;20180516;23:36:47.802;sent packet '277';20180516;23:36:47.817;unicast message '21' received from 2D:C8;15000000
277;20180516,23:36:48.799,sent packet '278';20180516,23:36:48.813,unicast message '22' received from 2D:C8;20180516;23:36:48.799;sent packet '278';20180516;23:36:48.813;unicast message '22' received from 2D:C8;14000000
278;20180516,23:36:49.796,sent packet '279';20180516,23:36:49.809,unicast message '23' received from 2D:C8;20180516;23:36:49.796;sent packet '279';20180516;23:36:49.809;unicast message '23' received from 2D:C8;13000000
279;20180516,23:36:50.792,sent packet '280';20180516,23:36:50.806,unicast message '24' received from 2D:C8;20180516;23:36:50.792;sent packet '280';20180516;23:36:50.806;unicast message '24' received from 2D:C8;14000000
280;20180516,23:36:51.789,sent packet '281';20180516,23:36:51.802,unicast message '25' received from 2D:C8;20180516;23:36:51.789;sent packet '281';20180516;23:36:51.802;unicast message '25' received from 2D:C8;13000000
281;20180516,23:36:52.785,sent packet '282';20180516,23:36:52.799,unicast message '26' received from 2D:C8;20180516;23:36:52.785;sent packet '282';20180516;23:36:52.799;unicast message '26' received from 2D:C8;14000000
282;20180516,23:36:53.781,sent packet '283';20180516,23:36:53.795,unicast message '27' received from 2D:C8;20180516;23:36:53.781;sent packet '283';20180516;23:36:53.795;unicast message '27' received from 2D:C8;14000000
283;20180516,23:36:54.778,sent packet '284';20180516,23:36:54.792,unicast message '28' received from 2D:C8;20180516;23:36:54.778;sent packet '284';20180516;23:36:54.792;unicast message '28' received from 2D:C8;14000000
284;20180516,23:36:55.914,sent packet '285';20180516,23:36:55.914,unicast message '29' received from 2D:C8;20180516;23:36:55.914;sent packet '285';20180516;23:36:55.914;unicast message '29' received from 2D:C8;0
285;20180516,23:36:56.771,sent packet '286';20180516,23:36:56.785,unicast message '30' received from 2D:C8;20180516;23:36:56.771;sent packet '286';20180516;23:36:56.785;unicast message '30' received from 2D:C8;14000000
286;20180516,23:36:57.767,sent packet '287';20180516,23:36:57.781,unicast message '31' received from 2D:C8;20180516;23:36:57.767;sent packet '287';20180516;23:36:57.781;unicast message '31' received from 2D:C8;14000000
