packet; cpu; lpm; IRQ; transmit; listen
1;3009;348322;10;267;188
2;3800;380299;9;534;32681
3;4594;412273;10;801;65174
4;5391;444244;9;1068;97667
5;6188;476215;10;1335;130160
6;6991;508180;10;1602;162653
7;7794;540145;10;1869;195146
8;8598;572110;10;2136;227639
9;9401;604075;10;2403;260132
10;10203;636040;10;2670;292625
11;11011;668000;10;2937;325118
12;11819;699960;10;3204;357611
13;12627;731920;10;3471;390104
14;13435;763880;10;3738;422597
15;14243;795840;10;4005;455090
16;15052;827800;10;4272;487583
17;15860;859760;10;4539;520076
18;16668;891720;10;4806;552569
19;17476;923680;10;5073;585063
20;18285;955639;10;5340;617556
21;19094;987598;61;5607;650049
22;19903;1019557;187;5874;682542
23;20718;1051510;313;6141;715035
24;21534;1083463;439;6408;747528
25;22349;1115416;565;6675;780021
26;23164;1147369;691;6942;812514
27;23978;1179322;817;7209;845007
28;24793;1211275;943;7476;877500
29;25608;1243228;1069;7743;909993
30;26426;1275178;1195;8010;942486
31;27244;1307128;1321;8277;974978
32;28062;1339078;1447;8544;1007470
33;28883;1371025;1573;8811;1039962
34;29705;1402972;1699;9078;1072454
35;30526;1434919;1825;9345;1104946
36;31347;1466866;1951;9612;1137438
37;32167;1498813;2077;9879;1169930
38;32988;1530760;2203;10146;1202422
39;33811;1562705;2329;10413;1234914
40;34635;1594649;2454;10680;1267406
41;35459;1626593;2580;10948;1299898
42;36284;1658537;2706;11216;1332390
43;37108;1690481;2832;11484;1364882
44;37932;1722425;2958;11752;1397374
45;38755;1754369;3084;12020;1429866
46;39578;1786314;3210;12288;1462358
47;40401;1818259;3337;12556;1494850
48;41224;1850204;3463;12824;1527342
49;42048;1882148;3589;13092;1559834
50;42872;1914092;3715;13360;1592326
51;43697;1946036;3841;13628;1624818
52;44521;1977980;3967;13896;1657310
53;45345;2009924;4093;14164;1689802
54;46168;2041868;4219;14432;1722294
55;46991;2073813;4303;14700;1754786
56;47814;2105758;4303;14968;1787278
57;48637;2137703;4303;15236;1819770
58;49460;2169648;4303;15504;1852262
59;50284;2201592;4303;15772;1884754
60;51108;2233536;4303;16040;1917246
61;51933;2265480;4303;16308;1949738
62;52756;2297424;4303;16576;1982231
63;53579;2329369;4303;16844;2014724
64;54402;2361314;4303;17112;2047217
65;55225;2393259;4303;17380;2079710
66;56048;2425204;4303;17648;2112203
67;56871;2457149;4303;17916;2144696
68;57695;2489093;4303;18184;2177189
69;58519;2521037;4303;18452;2209682
70;59344;2552981;4303;18719;2242175
71;60167;2584925;4303;18986;2274668
72;60991;2616870;4303;19253;2307161
73;61814;2648814;4303;19520;2339654
74;62637;2680759;4303;19787;2372147
75;63461;2712703;4303;20054;2404640
76;64284;2744648;4303;20321;2437133
77;65108;2776592;4303;20588;2469626
78;65933;2808536;4303;20855;2502119
79;66757;2840480;4303;21122;2534612
80;67580;2872424;4303;21389;2567105
81;68403;2904369;4303;21656;2599598
82;69226;2936314;4303;21923;2632091
83;70049;2968259;4303;22190;2664584
84;70872;3000204;4303;22457;2697077
85;71695;3032149;4303;22724;2729570
86;72519;3064093;4303;22991;2762063
87;73343;3096037;4303;23258;2794556
88;74168;3127981;4304;23525;2827049
89;74991;3159925;4303;23792;2859542
90;75814;3191870;4303;24059;2892035
91;76637;3223815;4304;24326;2924528
92;77460;3255760;4303;24593;2957021
93;78283;3287705;4303;24860;2989514
94;79106;3319650;4303;25127;3022007
95;79929;3351595;4303;25394;3054500
96;80836;3383456;4303;25661;3086993
97;81786;3415275;4303;25928;3119486
98;82735;3447094;4303;26195;3151979
99;83683;3478913;4303;26462;3184472
100;84631;3510733;4303;26729;3216965
101;85582;3542550;4304;26996;3249458
102;86533;3574367;4304;27263;3281951
103;87484;3606184;4304;27530;3314444
104;88435;3638001;4304;27797;3346937
105;89386;3669818;4304;28064;3379430
106;90338;3701635;4304;28331;3411923
107;91289;3733452;4304;28598;3444416
108;92150;3765358;4304;28865;3476909
109;92975;3797301;4304;29132;3509402
110;93800;3829244;4303;29399;3541895
111;94625;3861187;4303;29666;3574388
112;95450;3893130;4303;29933;3606881
113;96275;3925073;4303;30200;3639374
114;97101;3957016;4303;30467;3671867
115;97926;3988959;4303;30734;3704360
116;98751;4020902;4303;31001;3736853
117;99575;4052845;4303;31268;3769346
118;100400;4084788;4303;31535;3801839
119;101228;4116728;4303;31802;3834332
120;102056;4148668;4303;32069;3866825
121;102884;4180608;4303;32336;3899318
122;103712;4212548;4303;32603;3931811
123;104540;4244488;4303;32870;3964304
124;105368;4276428;4303;33137;3996797
125;106197;4308368;4303;33404;4029290
126;107025;4340308;4303;33671;4061783
127;107853;4372248;4303;33938;4094277
128;108682;4404187;4303;34205;4126770
129;109511;4436126;4371;34472;4159263
130;110340;4468065;4497;34739;4191756
131;111169;4500004;4623;35006;4224249
132;111999;4531943;4749;35273;4256742
133;112828;4563882;4875;35540;4289235
134;113657;4595821;5001;35807;4321728
135;114485;4627760;5127;36074;4354221
136;115314;4659699;5253;36341;4386714
137;116143;4691638;5379;36608;4419207
138;116972;4723577;5505;36875;4451699
139;117801;4755516;5631;37142;4484191
140;118630;4787455;5757;37409;4516683
141;119460;4819394;5883;37676;4549175
142;120289;4851333;6009;37943;4581667
143;121118;4883272;6135;38210;4614159
144;121946;4915211;6261;38477;4646651
145;122775;4947150;6387;38744;4679143
146;123604;4979089;6512;39011;4711635
147;124433;5011028;6639;39278;4744127
148;125262;5042967;6764;39546;4776619
149;126091;5074906;6891;39814;4809111
150;126921;5106845;7017;40082;4841603
151;127750;5138784;7143;40350;4874095
152;128579;5170723;7269;40618;4906587
153;129407;5202662;7395;40886;4939079
154;130236;5234601;7521;41154;4971571
155;131065;5266540;7648;41422;5004063
156;131894;5298479;7773;41690;5036555
157;132723;5330418;7900;41958;5069047
158;133552;5362357;8026;42226;5101539
159;134382;5394296;8151;42494;5134031
160;135211;5426235;8277;42762;5166523
161;136040;5458174;8403;43030;5199015
162;136868;5490113;8529;43298;5231507
163;137697;5522052;8576;43566;5263999
164;138526;5553991;8576;43834;5296491
165;139355;5585930;8576;44102;5328983
166;140184;5617869;8576;44370;5361475
167;141013;5649808;8576;44638;5393967
168;141843;5681747;8576;44906;5426459
