packet; cpu; lpm; IRQ; transmit; listen
1;1851;349460;10;267;188
2;2644;381436;10;534;32681
3;3441;413406;10;801;65174
4;4239;445376;10;1068;97667
5;5040;477343;10;1335;130160
6;5844;509307;10;1602;162653
7;6648;541271;10;1869;195146
8;7452;573235;10;2136;227639
9;8256;605199;11;2403;260132
10;9060;637163;11;2670;292625
11;9963;669028;11;2937;325118
12;10895;700865;11;3204;357611
13;11829;732699;11;3471;390104
14;12763;764533;11;3738;422597
15;13697;796367;11;4005;455090
16;14630;828201;11;4272;487583
17;15564;860035;11;4539;520076
18;16498;891869;11;4806;552569
19;17432;923703;11;5073;585062
20;18366;955537;10;5340;617555
21;19300;987371;10;5607;650048
22;20234;1019205;10;5874;682541
23;21171;1051036;10;6141;715034
24;22108;1082867;10;6408;747527
25;23045;1114698;10;6675;780020
26;23983;1146529;10;6942;812513
27;24920;1178360;10;7209;845006
28;25775;1210273;11;7476;877499
29;26585;1242230;10;7743;909992
30;27396;1274187;11;8010;942485
31;28207;1306144;10;8277;974978
32;29018;1338101;10;8544;1007471
33;29832;1370055;10;8811;1039964
34;30646;1402009;10;9078;1072457
35;31460;1433963;10;9345;1104950
36;32274;1465917;10;9612;1137443
37;33088;1497871;10;9879;1169936
38;33903;1529825;10;10146;1202429
39;34720;1561776;10;10413;1234922
40;35537;1593727;10;10680;1267415
41;36354;1625678;10;10947;1299908
42;37170;1657629;10;11214;1332401
43;37987;1689580;10;11481;1364894
44;38804;1721531;10;11748;1397387
45;39621;1753482;10;12015;1429880
46;40438;1785433;10;12282;1462373
47;41255;1817384;10;12549;1494866
48;42072;1849335;10;12816;1527359
49;42889;1881286;10;13083;1559852
50;43707;1913237;10;13350;1592345
51;44524;1945188;10;13617;1624838
52;45341;1977139;10;13884;1657331
53;46158;2009090;10;14151;1689824
54;46975;2041041;10;14418;1722317
55;47792;2072992;10;14685;1754811
56;48610;2104942;10;14952;1787304
57;49428;2136892;11;15219;1819797
58;50246;2168842;134;15486;1852290
59;51067;2200789;260;15753;1884783
60;51888;2232736;386;16020;1917276
61;52709;2264683;512;16287;1949769
62;53531;2296630;638;16554;1982262
63;54352;2328577;764;16821;2014755
64;55173;2360524;890;17088;2047248
65;55993;2392471;1016;17355;2079741
66;56816;2424416;1142;17622;2112234
67;57639;2456361;1268;17889;2144727
68;58462;2488306;1394;18156;2177220
69;59285;2520251;1520;18423;2209713
70;60108;2552196;1646;18690;2242205
71;60932;2584140;1772;18957;2274697
72;61756;2616084;1898;19224;2307189
73;62580;2648028;2024;19491;2339681
74;63405;2679972;2150;19758;2372173
75;64229;2711916;2276;20025;2404665
76;65053;2743860;2402;20292;2437157
77;65877;2775804;2528;20559;2469649
78;66700;2807748;2654;20826;2502141
79;67523;2839693;2780;21093;2534633
80;68346;2871638;2906;21360;2567125
81;69169;2903583;3031;21627;2599617
82;69992;2935528;3158;21894;2632109
83;70815;2967473;3283;22161;2664601
84;71639;2999417;3410;22429;2697093
85;72463;3031361;3535;22697;2729585
86;73287;3063305;3661;22965;2762077
87;74112;3095249;3787;23233;2794569
88;74936;3127193;3913;23501;2827061
89;75760;3159137;4039;23769;2859553
90;76584;3191081;4165;24037;2892045
91;77407;3223025;4291;24305;2924537
92;78230;3254970;4417;24573;2957029
93;79053;3286915;4544;24841;2989521
94;79876;3318860;4670;25109;3022013
95;80700;3350804;4796;25377;3054505
96;81523;3382749;4922;25645;3086997
97;82347;3414693;5048;25913;3119489
98;83171;3446637;5175;26181;3151981
99;83996;3478581;5301;26449;3184473
100;84820;3510525;5427;26717;3216965
101;85645;3542467;5553;26985;3249457
102;86471;3574409;5679;27253;3281949
103;87297;3606351;5804;27521;3314441
104;88123;3638293;5838;27789;3346933
105;88949;3670235;5837;28057;3379425
106;89775;3702177;5837;28325;3411917
107;90601;3734119;5837;28593;3444409
108;91427;3766061;5837;28861;3476901
109;92253;3798003;5837;29129;3509393
110;93079;3829945;5837;29397;3541885
111;93906;3861887;5837;29665;3574377
112;94732;3893829;5837;29933;3606869
113;95557;3925771;5837;30201;3639362
114;96383;3957713;5837;30469;3671855
115;97209;3989655;5837;30737;3704348
116;98035;4021597;5837;31005;3736841
117;98861;4053539;5837;31273;3769334
118;99687;4085481;5837;31541;3801827
119;100513;4117423;5837;31809;3834320
120;101342;4149362;5837;32077;3866813
121;102171;4181301;5837;32345;3899306
122;103000;4213240;5837;32613;3931799
123;103830;4245179;5837;32881;3964292
124;104659;4277118;5837;33148;3996785
125;105487;4309057;5837;33415;4029278
126;106316;4340996;5837;33682;4061771
127;107145;4372935;5837;33949;4094264
128;107974;4404874;5837;34216;4126757
129;108803;4436813;5837;34483;4159250
130;109632;4468752;5837;34750;4191743
131;110461;4500691;5837;35017;4224236
132;111290;4532630;5837;35284;4256729
133;112119;4564569;5837;35551;4289222
134;112948;4596508;5837;35818;4321715
135;113777;4628447;5837;36085;4354208
136;114607;4660386;5837;36352;4386701
137;115436;4692325;5837;36619;4419194
138;116264;4724264;5837;36886;4451687
139;117093;4756203;5837;37153;4484180
140;117922;4788142;5837;37420;4516673
141;118751;4820081;5837;37687;4549166
142;119580;4852020;5837;37954;4581659
143;120409;4883959;5837;38221;4614152
144;121238;4915898;5837;38488;4646645
145;122067;4947837;5837;38755;4679138
146;122896;4979776;5837;39022;4711631
147;123726;5011715;5837;39289;4744124
148;124555;5043654;5837;39556;4776617
149;125384;5075593;5837;39823;4809110
150;126212;5107532;5837;40090;4841603
151;127041;5139471;5837;40357;4874096
152;127870;5171410;5837;40624;4906589
153;128699;5203349;5837;40891;4939082
154;129528;5235288;5838;41158;4971575
155;130357;5267227;5837;41425;5004068
156;131186;5299166;5838;41692;5036561
157;132070;5331050;5837;41959;5069054
158;133024;5362864;5838;42226;5101547
159;133979;5394678;5838;42493;5134040
160;134932;5426492;5838;42760;5166533
161;135887;5458306;5838;43027;5199026
162;136840;5490120;5837;43294;5231519
163;137794;5521934;5838;43561;5264012
164;138748;5553748;5838;43828;5296505
165;139702;5585562;5838;44095;5328998
166;140656;5617376;5838;44362;5361491
167;141610;5649190;5838;44629;5393984
168;142564;5681004;5838;44896;5426477
169;143518;5712818;5838;45163;5458970
170;144473;5744632;5838;45430;5491463
171;145427;5776446;5837;45697;5523956
172;146371;5808270;5837;45964;5556449
173;147199;5840210;5837;46231;5588942
174;148026;5872150;5838;46498;5621435
175;148854;5904090;5836;46765;5653928
176;149682;5936030;5837;47032;5686421
177;150510;5967970;5836;47299;5718914
178;151338;5999910;5837;47566;5751407
179;152166;6031850;5837;47833;5783900
180;152994;6063790;5837;48100;5816393
181;153822;6095730;5837;48367;5848886
182;154651;6127670;5837;48634;5881379
183;155479;6159610;5837;48901;5913872
184;156306;6191550;5837;49168;5946365
185;157134;6223490;5837;49435;5978858
186;157962;6255430;5837;49702;6011351
187;158790;6287370;5837;49969;6043844
