packet; cpu; lpm; IRQ; transmit; listen
173;146594;5840815;6146;46224;5588950
174;147423;5872754;6272;46491;5621442
175;148252;5904693;6398;46758;5653934
176;149081;5936632;6524;47025;5686426
177;149911;5968571;6650;47292;5718918
178;150740;6000510;6776;47559;5751410
179;151568;6032449;6902;47826;5783902
180;152397;6064388;7028;48093;5816394
181;153226;6096327;7154;48360;5848886
182;154055;6128266;7279;48627;5881378
183;154884;6160205;7406;48894;5913870
184;155713;6192144;7531;49161;5946362
185;156542;6224083;7657;49429;5978854
186;157372;6256022;7783;49697;6011346
187;158201;6287961;7909;49965;6043838
188;159030;6319900;8036;50233;6076330
189;159859;6351839;8161;50501;6108822
190;160687;6383778;8287;50769;6141314
191;161516;6415717;8413;51037;6173806
192;162345;6447656;8540;51305;6206298
193;163174;6479595;8666;51573;6238790
194;164003;6511534;8792;51841;6271282
195;164832;6543473;8918;52109;6303774
196;165661;6575412;9044;52377;6336266
197;166491;6607351;9170;52645;6368758
198;167320;6639290;9296;52913;6401250
199;168148;6671229;9422;53181;6433742
200;168977;6703168;9548;53449;6466234
201;169806;6735107;9585;53717;6498726
202;170635;6767046;9585;53985;6531218
203;171464;6798985;9585;54253;6563710
204;172293;6830924;9585;54521;6596202
205;173122;6862863;9585;54789;6628694
206;173952;6894802;9585;55057;6661186
207;174781;6926741;9585;55325;6693678
208;175609;6958680;9585;55593;6726171
209;176438;6990619;9585;55861;6758664
210;177267;7022558;9585;56129;6791157
211;178096;7054497;9585;56397;6823650
212;178925;7086436;9585;56665;6856143
213;179754;7118375;9585;56933;6888636
214;180583;7150314;9585;57201;6921129
215;181412;7182253;9585;57469;6953622
216;182242;7214192;9585;57737;6986115
217;183071;7246131;9585;58004;7018608
218;183900;7278070;9585;58271;7051101
219;184728;7310009;9585;58538;7083594
220;185557;7341948;9585;58805;7116087
221;186386;7373887;9585;59072;7148580
222;187215;7405826;9585;59339;7181073
223;188044;7437765;9585;59606;7213566
224;188873;7469704;9585;59873;7246059
225;189702;7501643;9585;60140;7278552
226;190532;7533582;9585;60407;7311045
227;191361;7565521;9585;60674;7343538
228;192189;7597460;9585;60941;7376031
229;193018;7629399;9585;61208;7408524
230;193847;7661338;9585;61475;7441017
231;194676;7693277;9585;61742;7473510
232;195505;7725216;9585;62009;7506003
233;196334;7757155;9585;62276;7538496
234;197163;7789094;9585;62543;7570989
235;197992;7821033;9585;62810;7603482
236;198822;7852972;9585;63077;7635975
237;199651;7884911;9585;63344;7668468
238;200480;7916850;9585;63611;7700961
239;201308;7948789;9585;63878;7733454
240;202137;7980728;9585;64145;7765947
241;202966;8012667;9585;64412;7798440
242;203795;8044606;9585;64679;7830933
243;204624;8076545;9585;64946;7863426
244;205453;8108484;9585;65213;7895919
245;206293;8140412;9585;65480;7928412
246;207247;8172226;9586;65747;7960905
247;208202;8204040;9585;66014;7993398
248;209155;8235854;9586;66281;8025891
249;210109;8267668;9586;66548;8058384
250;211063;8299482;9585;66815;8090877
251;212017;8331296;9586;67082;8123370
252;212971;8363110;9586;67349;8155863
253;213925;8394924;9586;67616;8188356
254;214879;8426738;9586;67883;8220849
255;215833;8458552;9586;68150;8253342
256;216788;8490366;9586;68417;8285835
257;217742;8522180;9586;68684;8318328
258;218691;8553999;9586;68951;8350821
259;219518;8585939;9586;69218;8383314
260;220346;8617879;9586;69485;8415807
261;221174;8649819;9585;69752;8448300
262;222002;8681759;9585;70019;8480793
263;222830;8713699;9585;70286;8513286
264;223658;8745639;9585;70553;8545779
265;224486;8777579;9585;70820;8578272
266;225315;8809519;9585;71087;8610765
267;226143;8841459;9585;71354;8643258
268;226971;8873399;9585;71621;8675751
269;227798;8905339;9585;71888;8708244
270;228626;8937279;9585;72155;8740737
271;229454;8969219;9585;72422;8773230
272;230282;9001159;9585;72689;8805723
273;231110;9033099;9585;72956;8838216
274;231938;9065039;9585;73223;8870709
275;232766;9096979;9585;73490;8903202
276;233595;9128919;9585;73757;8935695
277;234423;9160859;9585;74024;8968188
278;235251;9192799;9585;74291;9000681
279;236079;9224739;9585;74558;9033175
280;236908;9256678;9585;74825;9065668
281;237737;9288617;9585;75092;9098161
